,accuracy,f1_macro,f1_weighted,n_train,n_test,n_cell_types
MS,0.3161249203314213,0.16842236409263742,0.2964497175290852,6275.0,1569.0,18.0
Myeloid,0.15801749271137025,0.09990132353686505,0.16408071783800385,9748.0,3430.0,21.0
hPancreas,0.17256112034179918,0.07805269376463958,0.18758657236928922,10600.0,4213.0,13.0
