,accuracy,f1_macro,f1_weighted,n_train,n_test,n_cell_types
MS,0.29700446144040793,0.15421202587474514,0.280418837160055,6275.0,1569.0,18.0
Myeloid,0.16880466472303207,0.10114529038415855,0.1751579226987543,9748.0,3430.0,21.0
